Πώς λένε τη γυναίκα του Cristiano Ronaldo?,Georgina Rodríguez,2
Ποιά ομάδα έχει το ρεκόρ με τα περισσότερα γκόλ στο Champions League σε μία σεζόν?,Barcelona (1999-00): 45 Goal,2
Ποιά χώρα έχει τις περισσότερες κατακτήσεις Copa Africa?,Αίγυπτος,2
Πόσα γκολ έχει δεχθεί η Εθνική Ελλάδος στα 3 παγκόσμια κύπελλα που έχει αγωνιστεί?,20,2
Ποιά είναι η υψηλότερη θέση που έχει κατακτήσει ο Ηρακλής στην Α' Εθνική?,2ος,2
Πόσοι τελικοί Μουντιάλ έχουν πάει σε παράταση?,7,2
Πόσες φορές έχει βρεθεί ο Lionel Messi στην 3άδα της χρυσής μπάλας,12,2
Ο Ronaldo (R9) έχει κατακτήσει δύο φορές τη χρυσή μπάλα. Ποιές χρονιές έγινε αυτό?,1997 και 2002,2
Ποιό ήταν το παρατσούκλι του Μέσσι στα πρώτα ποδοσφαιρικά του βήματα?,La Pulga(ο ψύλλος),2
Πόσα δευτερόλεπτα πήρε στον Τζιεουά να δεχτεί κόκκινη κάρτα, λίγο μετά την είσοδο του στον αγωνιστικό χώρο στο ματς Γλυφάδα - Ολυμπιακός Βόλου?,3,2
Ποιά ομάδα κατέκτησε την πρώτη Premier League?,Manchester United,2
Σε ποιά πόλη έπαιξε η Εθνική Ελλάδος τα περισσότερα παιχνίδια της στο EURO 2004?,Πόρτο,2
Ποιός παίκτης ήταν ο μοναδικός που έχασε πέναλτι στον τελικό του Μουντιάλ το 2006?,David Trezequet,2
Η πρωταθλήτρια Αλβανίας Σκεντρεμπέου αποκαλύφθηκε οτι είχε στήσει 53 αγώνες. Για πόσα χρόνια αποβλήθηκε απο τις ευρωπαϊκές διοργανώσεις?,10,2
Τι χρώμα είχε η ομάδα της Manchester United πριν το σημερινό κόκκινο-άσπρο?,Πράσινο και κίτρινο,2
