Ποιές αγγλικές ομάδες πήραν 6 σερί ευρωπαϊκά από το 1977 ως το 1982?,Liverpool Nottingham Forest και Aston Villa,2
Ποιοί παίκτες είχαν σκοράρει στον τελικό της Αθήνας Λίβερπουλ - Μίλαν?,Inzaghi για την Μίλαν και Kuyt για την Λίβερπουλ,2
Ποιά χρονιά πήρε το EURO η Δανία?,1992,2
Πόσους τίτλους έχει πάρει ο Maradona με τη Νάπολι?,5,3
Ποίος είναι ο τελευταίος αμυντικός που πήρε χρυσή μπάλα?,Cannavaro(2006),1
Πόσα χρόνια ήταν προπονητής ο Arsene Wenger?,22,2
Ποιός έκανε το σουτ στο ματς Ελλάδα-Νιγηρία πριν το γκολ του Τοροσίδη?,Αλέξανδορς Τζιόλης,2
Πόσα είναι τα περισσότερα γκόλ που έχουν μπει σε ένα ματς στο Champions League(1992 και μετά)?,12 (Borussia Dortmund 8-4 Legia Warszawa - 22 November 2016),1
Ποιά είναι η πιό παλιά ποδοσφαιρική ομάδα στην ιστορία του ποδοσφαίρου?,Sheffield FC,3
Ποιά ήταν η ομάδα που πήρε το 1ο επίσημο ελληνικό πρωτάθλημα τη σεζον 1927-28?,Άρης,2
Ποίος παίκτης πήρε τη χρυσή μπάλα το 2007?,Kaka,1
Ποιός είναι ο πρώτος σκόρερ της Chelsea στο Champions League?,Didier Drogba,1
Ποιά ομάδα κατέκτησε το πρώτο κύπελλο Ελλάδας?,ΑΕΚ,3
Το 2006 η Λίβερπουλ κατέκτησε στα πέναλτι το FA Cup με αντίπαλο την West Ham. Στο 91ο λεπτό η ομάδα του Merseyside ισοφάρισε 3-3 με φοβερό γκόλ. Ποιός ήταν ο σκόρερ?,Steven Gerrard,1
Από ποιά ομάδα του Μεξικού αγόρασε η ΑΕΚ το 2008 τον Νάτσο Σκόκο με μόλις 1.500.000 ευρώ?,PUMAS UNAM,1
Ο Γκιγιέρμο Οτσόα έχει 6 δάχτυλα. Σωστό ή Λάθος?,Λάθος,1
Ποιός παίκτης έχει κατακτήσει πρώτος το Champions League με 3 διαφορετικές ομάδες?,Seedorf,1
Ποιός έβαλε το τελευταίο γκολ στο Κύπελλο Πρωταθλητριών πριν αλλάξει τη δομή του σε Champions League?,Ronald Koeman,2
Ποιά ομάδα από τις Ίντερ και Μίλαν ιδρύθηκε πρώτη,Μίλαν,1
Ποιά χρόνια αγωνίστηκε για πρώτη φορά Ελληνική ομάδα στο Κύπελλο Πρωταθλητριών?,1959-60,2
Ποιό θεωρείται το πρώτο καταγεγραμμένο στημένο ματς στην Αγγλία που έλαβε χώρα το 1915?,Liverpool - Manchester United,3
Πόσα πέναλτι εκτελέστηκαν συνολικά στον τελικό Κυπέλλου ΑΕΚ-Ολυμπιακός το 2009?,34,2
