Πόσα παιδιά έχει ο David Beckham?,4,2
Με ποιόν ξένο ποδοσφαιριστή της Super League είχε σχέση η Josephine?,Lautaro Renaldi,3
Σε ποία ομάδα (που έχει βρεθεί στη Super League) έπαιζε ποδόσφαιρο ο Ντάνος?,Ολυμπιακός Βόλου,3
Σε ποιά χώρα του εξωτερικού έχει παίξει ποδόσφαιρο ο Παναγιώτης Βασιλάκος του Bachelor?,Τσεχία,3
Με ποίον ποδοσφαιριστή είχε σχέση η Ειρήνη Παπαδοπούλου?,Πασχαλάκη,1
Σε ποιά ομάδα έχει αγωνιστεί ο Κώστας Φραγκολιάς?,Ατρόμητος Αθηνών,3
Ποιά ομάδα της Αγγλίας αγόρασε ο ηθοποιός Ryan Reynolds που υποδύεται τον Deadpool?,Wrexham,2
Ποιός πρώην ποδοσφαιριστής της Manchester United έχει μπλεχτεί σε σκάνδαλο επειδή είχε κρυφή σχέση με τη γυναίκα του αδερφού του?,Ryan Giggs,1
Πως λεγόταν η ομάδα που προπονούσε ο Γιάννης Μπέζος (Διονύσης Μαυροτσούκαλος) στο "Ευτυχισμένοι Μαζί"?,Αήττητος,2
Τι διαφήμιζε ο Βραζιλιάνος πρώην ποδοσφαιριστής του Άρη Ντάρσι Νέτο?,Αμαζόνια Κόκο,1
Σε ποιά αγγλική ομάδα χαμηλής κατηγορίας είχε μετοχές ο τραγουδιστής Ρόμπιν Γουίλιαμς?,Port Vale,3
Πως λένε τη γυναίκα του Λιονέλ Μέσσι?,Αντονέλλα Ροκούζο,2
Ποιό είναι το Hobby του Petr Cech?,Drums,1
"Το ποδόσφαιρο παίζεται με το μυαλό. Τα πόδια είναι απλά τα εργαλεία". Ο Andres Iniesta ή ο Andrea Pirlo έκανε αυτήν την τοποθέτηση?,Andrea Pirlo,1
