Από ποιά χώρα είναι η ομάδα Quick Boys?,Ολλανδία,3
Ποιά είναι η εθνικότητα του Pierre Emerick Aubameyang?,Γκαμπόν,1
Σε ποιά πόλη παίζει η ομάδα ΑΠΟ Νικολακάκης?,Αθήνα,2
Από ποιά χώρα είναι ο Varela που έπαιζε στον ΠΑΟΚ?,Cape Verde,3
Σε ποιό γήπεδο έγινε ο τελικός του Champions League το 1999?,Camp Nou,2
Από ποιά χώρα είναι η ομάδα Heracles Almelo?,Ολλανδία,1
Απο ποιά χώρα έχει καταγωγή ο Raheem Sterling?,Τζαμάικα,1
Από ποιά χώρα είναι η ομάδα Deportivo Saprissa?,Κόστα Ρίκα,3
Σε ποιά χώρα αγωνίζεται η ομάδα Akropolis IF?,Σουηδία,1
Σε ποιό γήπεδο έγινε ο τελικός του κυπέλλου UEFA το 2002 μεταξύ Φέγενορντ και Ντόρτμουντ?,De Kuip Feyenord,2
Από ποιό νομό είναι η Αναγέννηση Πλαγιάς που αγωνίζεται στη Γ' Εθνική?,Κιλκίς,3
Σε ποιά χώρα αγωνίζεται η Ροζάριο Σεντράλ?,Αργεντινή,1
Σε ποιό πρωτάθλημα αγωνίζεται η ομάδα The New Saints FC?,Ουαλία,1
Ποιά ευρωπαϊκή υπηκοότητα έχει ο Demba-Nyren που αγωνίστηκε σε ΠΑΣ Γιάννενα Άρη Παναθηναϊκό και Κέρκυρα?,Σουηδία,2
Σε ποιό γήπεδο πραγματοποιήθηκαν οι πρώτοι τελικοί του FA Cup?,Kennington Oval,3
Σε ποιά χώρα βρίσκεται το Hrazdan Stadium?,Αρμενία,2
Σε ποιά χώρα αγωνίζεται η Ουέλινγκτον?,Νέα Ζηλανδία,3
Από ποιά χώρα έχει καταγωγή ο Jadon Sancho?,Τρινιντάντ και Tομπάγκο,1
Το 2012 η Manchester City κατέκτησε το πρωτάθλημα στο τελευταίο λεπτό με την QPR. Ποιός έδωσε την ασίστ στον σκόρερ Aguero?,Mario Balotelli,1
